,,,,,,,,,,,,,,
0,CombatZoneResize,155,251,485,391,TLResume,,,,,,,,
0,HeartTeleport,320,378,,,,,,,,,,,
0,HeartMode,1,,,,,,,,,,,,
0,TLPause,,,,,,,,,,,,,
,,,,,,,,,,,,,,
0,BoneRepeat,ÅgÅh,100,291,75,270,0,160,,50,80,,,
0,BoneRepeat,ÅgÅh,100,376,20,270,0,160,,50,80,,,
0,BoneRepeat,ÅgÅh,540,291,75,270,180,160,,50,80,,,
0,BoneRepeat,ÅgÅh,540,376,20,270,180,160,,50,80,,,
0,BoneRepeat,ÅgÅh,100,376,20,270,0,300,,16,500,,,
0,BoneRepeat,ÅgÅh,540,291,75,270,180,300,,16,500,,,
0,BoneRepeat,ÅgÅh,540,376,20,270,180,300,,16,500,,,
0,BoneRepeat,ÅgÅh,100,291,75,270,0,300,,16,500,,,
1,BoneStab,2,153,2,3,,,,,,,,,
0,BoneStab,0,153,2,3,,,,,,,,,
5,Attack1,,,,,,,,,,,,,
5,BoneStab,2,153,2,3,,,,,,,,,
0,BoneStab,0,153,2,3,,,,,,,,,
5,Attack1,,,,,,,,,,,,,
5,BoneStab,2,153,2,3,,,,,,,,,
0,BoneStab,0,153,2,3,,,,,,,,,
6.8,Endattack,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,0
