0,CombatZoneResize,155,251,485,391,TLResume,,,,,,,
0,HeartTeleport,320,378,,,,,,,,,,
0,HeartMode,1,,,,,,,,,,,
0,TLPause,,,,,,,,,,,,
0,Attack10,,,,,,,,,,,,
,,,,,,,,,,,,,
0,Bone,B,540,391,50,180,180,180,,,2,,
0,Bone,B,100,391,50,180,0,180,,,1,,
0,Bone,B,560,391,25,180,180,180,,,2,,
0,Bone,B,80,391,25,180,0,180,,,1,,
0,Bone,T,600,251,100,180,180,180,,,2,,
0,Bone,T,40,251,100,180,0,180,,,1,,
0,Bone,T,620,251,100,180,180,180,,,2,,
0,Bone,T,20,251,100,180,0,180,,,1,,
0,Bone,T,640,251,50,180,180,180,,,2,,
0,Bone,T,0,251,50,180,0,180,,,1,,
,,,,,,,,,,,,,
0,Bone,B,690,391,30,180,180,180,,,2,,
0,Bone,B,-50,391,30,180,0,180,,,1,,
0,Bone,B,710,391,60,180,180,180,,,2,,
0,Bone,B,-70,391,60,180,0,180,,,1,,
,,,,,,,,,,,,,
0,Bonerepeat,B,740,391,20,180,180,180,,4,30,,2
0,Bonerepeat,B,-100,391,20,180,0,180,,4,30,,1
,,,,,,,,,,,,,
0,Bone,ÅgÅh,315,800,50,270,270,0,,,,,
0,Bone,ÅgÅh,325,800,50,270,270,0,,,,,
,,,,,,,,,,,,,
0,kakuninre,680,180,160,,,,,,,,,
0,TLPause,,,,,,,,,,,,
,,,,,,,,,,,,,
0,Bone,B,540,391,50,180,180,180,,,2,,
0,Bone,B,100,391,50,180,0,180,,,1,,
0,Bone,B,560,391,25,180,180,180,,,2,,
0,Bone,B,80,391,25,180,0,180,,,1,,
0,Bone,T,600,251,100,180,180,180,,,2,,
0,Bone,T,40,251,100,180,0,180,,,1,,
0,Bone,T,620,251,100,180,180,180,,,2,,
0,Bone,T,20,251,100,180,0,180,,,1,,
0,Bone,T,640,251,50,180,180,180,,,2,,
0,Bone,T,0,251,50,180,0,180,,,1,,
,,,,,,,,,,,,,
0,Bone,B,690,391,30,180,180,180,,,2,,
0,Bone,B,-50,391,30,180,0,180,,,1,,
0,Bone,B,710,391,60,180,180,180,,,2,,
0,Bone,B,-70,391,60,180,0,180,,,1,,
,,,,,,,,,,,,,
0,Bonerepeat,B,740,391,20,180,180,180,,4,30,,2
0,Bonerepeat,B,-100,391,20,180,0,180,,4,30,,1
,,,,,,,,,,,,,
0,Bone,ÅgÅh,315,800,50,270,270,0,,,,,
0,Bone,ÅgÅh,325,800,50,270,270,0,,,,,
,,,,,,,,,,,,,
0,kakuninre,680,180,160,,,,,,,,,
0,TLPause,,,,,,,,,,,,
,,,,,,,,,,,,,
0,Bone,B,540,391,50,180,180,180,,,2,,
0,Bone,B,100,391,50,180,0,180,,,1,,
0,Bone,B,560,391,25,180,180,180,,,2,,
0,Bone,B,80,391,25,180,0,180,,,1,,
0,Bone,T,600,251,100,180,180,180,,,2,,
0,Bone,T,40,251,100,180,0,180,,,1,,
0,Bone,T,620,251,100,180,180,180,,,2,,
0,Bone,T,20,251,100,180,0,180,,,1,,
0,Bone,T,640,251,50,180,180,180,,,2,,
0,Bone,T,0,251,50,180,0,180,,,1,,
,,,,,,,,,,,,,
0,Bone,B,690,391,30,180,180,180,,,2,,
0,Bone,B,-50,391,30,180,0,180,,,1,,
0,Bone,B,710,391,60,180,180,180,,,2,,
0,Bone,B,-70,391,60,180,0,180,,,1,,
,,,,,,,,,,,,,
0,Bonerepeat,B,740,391,20,180,180,180,,4,30,,2
0,Bonerepeat,B,-100,391,20,180,0,180,,4,30,,1
,,,,,,,,,,,,,
0,Bone,ÅgÅh,315,800,50,270,270,0,,,,,
0,Bone,ÅgÅh,325,800,50,270,270,0,,,,,
,,,,,,,,,,,,,
0,kakuninre,680,180,160,,,,,,,,,
0,TLPause,,,,,,,,,,,,
,,,,,,,,,,,,,
0,Bone,B,540,391,50,180,180,180,,,2,,
0,Bone,B,100,391,50,180,0,180,,,1,,
0,Bone,B,560,391,25,180,180,180,,,2,,
0,Bone,B,80,391,25,180,0,180,,,1,,
0,Bone,T,600,251,100,180,180,180,,,2,,
0,Bone,T,40,251,100,180,0,180,,,1,,
0,Bone,T,620,251,100,180,180,180,,,2,,
0,Bone,T,20,251,100,180,0,180,,,1,,
0,Bone,T,640,251,50,180,180,180,,,2,,
0,Bone,T,0,251,50,180,0,180,,,1,,
,,,,,,,,,,,,,
0,Bone,B,690,391,30,180,180,180,,,2,,
0,Bone,B,-50,391,30,180,0,180,,,1,,
0,Bone,B,710,391,60,180,180,180,,,2,,
0,Bone,B,-70,391,60,180,0,180,,,1,,
,,,,,,,,,,,,,
0,Bonerepeat,B,740,391,20,180,180,180,,4,30,,2
0,Bonerepeat,B,-100,391,20,180,0,180,,4,30,,1
,,,,,,,,,,,,,
0,Bone,ÅgÅh,315,800,50,270,270,0,,,,,
0,Bone,ÅgÅh,325,800,50,270,270,0,,,,,
,,,,,,,,,,,,,
