0,CombatZonepoint,320,316,,,,,,,,,,,,,
0,CombatZoneResize,245,241,395,391,TLResume,,,,,,,,,,
0,HeartTeleport,320,316,,,,,,,,,,,,,
0,HeartMode,0,,,,,,,,,,,,,,
0,TLPause,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
0,SansTorso,handDownr,,,,,,,,,,,,,,
0,SansSlam,1,,,,,,,,,,,,,,
0,Attack131,,,,,,,,,,,,,,,
0,BoneRepeat,B,420,391,20,0,180,250,0,3,120,,,,,
0,BoneRepeat,T,420,241,100,0,180,250,0,3,120,,,,,
0,BoneRepeat,B,220,391,20,0,0,250,0,3,120,,,,,
0,BoneRepeat,T,220,241,100,0,0,250,0,3,120,,,,,
,,,,,,,,,,,,,,,,
0,BoneRepeat,B,780,391,50,0,180,250,0,2,20,,,,,
0,BoneRepeat,T,-140,241,50,0,0,250,0,2,20,,,,,
0,BoneRepeat,B,820,391,140,0,180,250,0,3,20,,,,,
0,BoneRepeat,B,-180,391,140,0,0,250,0,3,20,,,,,
0,kakuninre,790,180,250,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
0,TLPause,,,,,,,,,,,,,,,
0,BlackScreen,1,,,,,,,,,,,,,,
0,Sound,flash,,,,,,,,,,,,,,
0,HeartMode,0,,,,,,,,,,,,,,
0.2,BlackScreen,0,,,,,,,,,,,,,,
0,Sound,flash,,,,,,,,,,,,,,
0,CombatZoneResizeinstant,285,241,535,391,,,,,,,,,,,
0,SansX,170,,,,,,,,,,,,,,
0,SansY,391,,,,,,,,,,,,,,
0,HeartMode,1,,,,,,,,,,,,,,
0,HeartTeleport,521,400,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
0,BoneRepeat,B,535,391,140,0,180,70,0,30,12,,,,,
,,,,,,,,,,,,,,,,
0,BoneRepeat,B,340,391,100,0,0,140,0,2,260,1,,,,
0,BoneRepeat,T,300,241,100,0,0,140,0,2,260,0,,,,
0,BoneRepeat,B,260,391,30,0,0,140,0,2,260,0,,,,
0,BoneRepeat,T,240,241,80,0,0,140,0,2,260,0,,,,
0,BoneRepeat,B,220,391,50,0,0,140,0,2,260,0,,,,
0,BoneRepeat,T,160,241,100,0,0,140,0,2,260,0,,,,
0,BoneRepeat,T,140,241,50,0,0,140,0,2,260,0,,,,
0,kakuninre,540,180,70,,,,,,,,,,,,
0,TLPause,,,,,,,,,,,,,,,
0,BlackScreen,1,,,,,,,,,,,,,,
0,Sound,flash,,,,,,,,,,,,,,
0.2,BlackScreen,0,,,,,,,,,,,,,,
0,Sound,flash,,,,,,,,,,,,,,
0,Attack134,,,,,,,,,,,,,,,
0,CombatZoneResizeinstant,85,241,235,391,,,,,,,,,,,
0,SansX,470,,,,,,,,,,,,,,
0,HeartTeleport,160,316,,,,,,,,,,,,,
0,HeartMode,0,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
0,BoneRepeat,B,80,391,95,0,0,300,0,1,14,,,,,
0,BoneRepeat,B,240,391,95,0,180,300,0,1,14,,,,,
0,Sound,BoneStab,,,,,,,,,,,,,,
0.4,BoneRepeat,L,85,396,70,0,270,300,0,1,14,,,,,
0,BoneRepeat,R,235,236,70,0,90,300,0,1,14,,,,,
0,Sound,BoneStab,,,,,,,,,,,,,,
0.4,BoneRepeat,T,80,241,60,0,0,300,0,1,14,,,,,
0,BoneRepeat,B,240,391,60,0,180,300,0,1,14,,,,,
0,BoneRepeat,L,85,396,60,0,270,300,0,1,14,,,,,
0,BoneRepeat,R,235,236,60,0,90,300,0,1,14,,,,,
,,,,,,,,,,,,,,,,
0,Sound,BoneStab,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
0.4,SineBonesV,50,30,300,47,51,38,180,,,,,,,,
0,SineBonesH,50,30,300,47,51,38,270,,,,,,,,
0,Sound,BoneStab,,,,,,,,,,,,,,
2,BlackScreen,1,,,,,,,,,,,,,,
0,Sound,flash,,,,,,,,,,,,,,
0.2,BlackScreen,0,,,,,,,,,,,,,,
0,Sound,flash,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
0,Attack132,,,,,,,,,,,,,,,
0,CombatZonepoint,320,316,,,,,,,,,,,,,
0,CombatZoneResizeinstant,245,241,395,391,,,,,,,,,,,
0,HeartTeleport,320,320,,,,,,,,,,,,,
0,SansX,320,,,,,,,,,,,,,,
0,SansTorso,HandUp,,,,,,,,,,,,,,
0.2,SansSlam,3,,,,,,,,,,,,,,
0.3,SansTorso,handDown,,,,,,,,,,,,,,
0.2,HeartMaxFallSpeed,450,,,,,255,,385,,,,,,,
0,SansSlam,1,,,,,,,,,,,,,,
0,Combatzonefinal2,245,241,395,391,,,,,,,,,,,
0,TLPause,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
0,BoneRepeat,L,255,490,30,0,270,750,0,2,300,,,,,
0,BoneRepeat,L,255,520,50,0,270,750,0,2,300,,,,,
0,BoneRepeat,L,255,550,66,0,270,750,0,2,300,,,,,
0,BoneRepeat,R,385,640,30,0,270,750,0,2,300,,,,,
0,BoneRepeat,R,385,670,50,0,270,750,0,2,300,,,,,
0,BoneRepeat,R,385,700,66,0,270,750,0,2,300,,,,,
0,BoneRepeat,L,255,1105,120,0,270,750,0,2,30,1,,,,
0,BoneRepeat,R,385,1105,120,0,270,750,0,2,30,1,,,,
0,Bone,L,255,1240,30,0,270,750,0,,,,,,,
0,Bone,R,385,1240,30,0,270,750,0,,,,,,,
0,Bone,L,255,1270,50,0,270,750,0,,,,,,,
0,Bone,R,385,1270,50,0,270,750,0,,,,,,,
0,Bone,L,255,1300,50,0,270,750,0,,,,,,,
0,Bone,R,385,1300,50,0,270,750,0,,,,,,,
0,Bone,L,255,1330,30,0,270,750,0,,,,,,,
0,Bone,R,385,1330,30,0,270,750,0,,,,,,,
,,,,,,,,,,,,,,,,
0,Bone,ÅgÅh,320,1430,20,0,270,750,0,,,,,,,
0,Bone,ÅgÅh,320,1460,29,0,270,750,0,,,,,,,
0,Bone,ÅgÅh,320,1490,38,0,270,750,0,,,,,,,
0,Bone,ÅgÅh,320,1520,47,0,270,750,0,,,,,,,
0,Bone,ÅgÅh,320,1550,56,0,270,750,0,,,,,,,
0,Bone,ÅgÅh,320,1580,65,0,270,750,0,,,,,,,
,,,,,,,,,,,,,,,,
0,Bone,L,255,1680,20,0,270,750,0,,,,,,,
0,Bone,R,385,1680,20,0,270,750,0,,,,,,,
0,Bone,L,255,1710,26,0,270,750,0,,,,,,,
0,Bone,R,385,1710,26,0,270,750,0,,,,,,,
0,Bone,L,255,1740,32,0,270,750,0,,,,,,,
0,Bone,R,385,1740,32,0,270,750,0,,,,,,,
0,Bone,L,255,1770,38,0,270,750,0,,,,,,,
0,Bone,R,385,1770,38,0,270,750,0,,,,,,,
0,Bone,L,255,1800,44,0,270,750,0,,,,,,,
0,Bone,R,385,1800,44,0,270,750,0,,,,,,,
0,Bone,L,255,1830,50,0,270,750,0,,,,,,,
0,Bone,R,385,1830,50,0,270,750,0,,,,,,,
0.1,SineBonesH2,37,30,750,38,49,30,20,,,,,,,,1855
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
0,SET,X,3300,,,,,,,,,,,,,
0,SET,I,0,,,,,,,,,,,,,
0,MUL,X2,$I,30,,,,,,,,,,,,
0,ADD,X2,$X2,$X,,,,,,,,,,,,
0,ADD,H,10,$I,,,,,,,,,,,,
0,Bone,L,255,$X2,$H,0,270,800,,,,,,,,
0,SUB,Y,400,$H,,,,,,,,,,,,
0,Bone,R,385,$X2,$H,0,270,800,,,,,,,,
0,ADD,I,$I,1,,,,,,,,,,,,
0,JMPL,161,$I,45,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
3,GasterBlaster,1,320,-100,320,400,270,0.3,0.08,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
3,CombatZoneSpeed,900,,,,,,,,,,,,,,
0,CombatZoneResize,255,-30,385,350,TLResume,,,,,,,,,,
0,Attack136,,,,,,,,,,,,,,,
0,TLPause,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
0,HeartMaxFallSpeed,900,15,,,,,,,,,,,,,
0,SansSlam,1,,,,,,,,,,,,,,
0,Attack138,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
0.4,BoneRepeat,B,250,350,20,0,0,300,0,2,12,,,,,
0,BoneRepeat,B,390,350,20,0,180,300,0,2,12,,,,,
0,sound,BoneStab,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
0.2,BoneRepeat,B,250,350,40,0,0,300,0,2,12,,,,,
0,BoneRepeat,B,390,350,40,0,180,300,0,2,12,,,,,
0,sound,BoneStab,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
0.2,BoneRepeat,B,250,350,80,0,0,300,0,2,12,1,,,,
0,BoneRepeat,B,390,350,80,0,180,300,0,2,12,1,,,,
0,sound,BoneStab,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
0.2,Bone,ÅgÅh,266,410,120,270,180,0,0,,7,,,,,
0,sound,BoneStab,,,,,,,,,,,,,,
0,Bone,ÅgÅh,374,410,120,270,180,0,0,,7,,,,,
0.1,Bone,ÅgÅh,278,410,120,270,180,0,0,,6,,,,,
0,sound,BoneStab,,,,,,,,,,,,,,
0,Bone,ÅgÅh,362,410,120,270,180,0,0,,6,,,,,
0.1,Bone,ÅgÅh,290,410,120,270,180,0,0,,7,,,,,
0,sound,BoneStab,,,,,,,,,,,,,,
0,Bone,ÅgÅh,350,410,120,270,180,0,0,,7,,,,,
0.1,Bone,ÅgÅh,302,410,120,270,180,0,0,,6,,,,,
0,sound,BoneStab,,,,,,,,,,,,,,
0,Bone,ÅgÅh,338,410,120,270,180,0,0,,6,,,,,
0.1,Bone,ÅgÅh,314,410,120,270,180,0,0,,5,,,,,
0,sound,BoneStab,,,,,,,,,,,,,,
0,Bone,ÅgÅh,326,410,120,270,180,0,0,,5,,,,,
,,,,,,,,,,,,,,,,
0.8,BlackScreen,1,,,,,,,,,,,,,,
0,sound,flash,,,,,,,,,,,,,,
0.2,BlackScreen,0,,,,,,,,,,,,,,
0,sound,flash,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
0,CombatZonepoint,320,316,,,,,,,,,,,,,
0,CombatZoneResizeInstant,245,241,395,391,TLResume,,,,,,,,,,
0,HeartTeleport,320,316,,,,,,,,,,,,,
0,HeartMode,0,,,,,,,,,,,,,,
0,SansX,320,,,,,,,,,,,,,,
0,Attack137,,,,,,,,,,,,,,,
0,SansAnimation,Idle,,,,,,,,,,,,,,
0,SansTorso,Default,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
0,SET,gt,0,,,,,,,,,,,,,
0,SET,gin,1,,,,,,,,,,,,,
0,RND,Ang,360,,,,,,,,,,,,,
0,COS,X,$Ang,,,,,,,,,,,,,
0,SIN,Y,$Ang,,,,,,,,,,,,,
0,MUL,EndX,$X,150,,,,,,,,,,,,
0,MUL,EndY,$Y,150,,,,,,,,,,,,
0,MUL,X,$EndX,3,,,,,,,,,,,,
0,MUL,Y,$EndY,3,,,,,,,,,,,,
0,ADD,X,$X,320,,,,,,,,,,,,
0,ADD,Y,$Y,316,,,,,,,,,,,,
0,ADD,EndX,$EndX,320,,,,,,,,,,,,
0,ADD,EndY,$EndY,316,,,,,,,,,,,,
0,ADD,Ang,$Ang,180,,,,,,,,,,,,
0,GasterBlaster,0,$X,$Y,$EndX,$EndY,$Ang,0.5,0.03,,,,,,,
0,ADD,gt,$gt,$gin,,,,,,,,,,,,
0,JMPNL,248,$gin,1.7,,,,,,,,,,,,
0,ADD,gin,$gin,0,,,,,,,,,,,,
0.1,JMPL,232,$gt,50,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
1.5,BlackScreen,1,,,,,,,,,,,,,,
0,sound,flash,,,,,,,,,,,,,,
0.2,BlackScreen,0,,,,,,,,,,,,,,
0,sound,flash,,,,,,,,,,,,,,
0.2,BlackScreen,1,,,,,,,,,,,,,,
0,sound,flash,,,,,,,,,,,,,,
0.2,BlackScreen,0,,,,,,,,,,,,,,
0,sound,flash,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
0.1,BlackScreen,1,,,,,,,,,,,,,,
0,sound,flash,,,,,,,,,,,,,,
0.1,BlackScreen,0,,,,,,,,,,,,,,
0,sound,flash,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
0.1,BlackScreen,1,,,,,,,,,,,,,,
0,sound,flash,,,,,,,,,,,,,,
0.1,BlackScreen,0,,,,,,,,,,,,,,
0,sound,flash,,,,,,,,,,,,,,
0,SansX,320,,,,,,,,,,,,,,
0,CombatZoneResizeinstant,33,251,608,391,,,,,,,,,,,
0,Stopmusic,,,,,,,,,,,,,,,
0,Endattack,,,,,,,,,,,,,,,
