,,,,,,,,,,,,,,,,,
0,HeartTeleport,320,320,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
0,SET,Loop,6,,,,,,,,,,,,,,
0,:RndAttack,,,,,,,,,,,,,,,,
0,CHOOSE,SC,0,2,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
0,BlackScreen,1,1,,,,,,,,,,,,,,
0,Sound,Flash,,,,,,,,,,,,,,,
0.1,BlackScreen,$SC,,,,,,,,,,,,,,,
0,Sound,Flash,,,,,,,,,,,,,,,
0,JMPZ,End,$Loop,,,,,,,,,,,,,,
0,SUB,Loop,$Loop,1,,,,,,,,,,,,,
0,RND,Jump,5,,,,,,,,,,,,,,
0,ADD,Jump,$Jump,1,,,,,,,,,,,,,
0,JMPREL,$Jump,,,,,,,,,,,,,,,
0,JMPABS,Attack0,,,,,,,,,,,,,,,
0,JMPABS,Attack1,,,,,,,,,,,,,,,
0,JMPABS,Attack2,,,,,,,,,,,,,,,
0,JMPABS,Attack3,,,,,,,,,,,,,,,
0,JMPABS,Attack4,,,,,,,,,,,,,,,
0,:Attack0,,,,,,,,,,,,,,,,
0,RND,Side,2,,,,,,,,,,,,,,
0,JMPZ,Attack0A,$Side,,,,,,,,,,,,,,
0,SansRandomX,,,,,,,,,,,,,,,,
0,HeartMode,1,,,,,,,,,,,,,,,
0,CombatZoneResizeinstant,134,251,206,391,,,,,,,,,,,,
0,HeartTeleport,170,331,,,,,,,,,,,,,,
0,platformRepeat,170,346,20,0,180,0,10,75,1,0,,,,,,
0,Bonerepeat,ÅgÅh,166,391,80,270,180,0,0,10,75,0,,,,,
0,Bonerepeat,ÅgÅh,174,391,80,270,180,0,0,10,75,0,,,,,
0,Bonerepeat,ÅgÅh,166,251,80,270,180,0,0,10,75,0,,,,,
0,Bonerepeat,ÅgÅh,174,251,80,270,180,0,0,10,75,0,,,,,
0,Bonerepeat,T,157,251,130,0,0,0,0,2,12,0,1,,,,
0,Bonerepeat,T,195,251,130,0,0,0,0,2,12,0,1,,,,
0,Attack161A,,,,,,,,,,,,,,,,
0,TLPause,,,,,,,,,,,,,,,,
0,JMPABS,RndAttack,,,,,,,,,,,,,,,
0,:Attack0A,,,,,,,,,,,,,,,,
0,SansRandomX,,,,,,,,,,,,,,,,
0,HeartMode,1,,,,,,,,,,,,,,,
0,CombatZoneResizeinstant,434,251,506,391,,,,,,,,,,,,
0,HeartTeleport,470,331,,,,,,,,,,,,,,
0,platformRepeat,470,346,20,0,0,0,10,75,1,0,,,,,,
0,Bonerepeat,ÅgÅh,466,391,80,270,0,0,0,10,75,0,,,,,
0,Bonerepeat,ÅgÅh,474,391,80,270,0,0,0,10,75,0,,,,,
0,Bonerepeat,ÅgÅh,466,251,80,270,0,0,0,10,75,0,,,,,
0,Bonerepeat,ÅgÅh,474,251,80,270,0,0,0,10,75,0,,,,,
0,Bonerepeat,T,457,251,130,0,0,0,0,2,12,0,1,,,,
0,Bonerepeat,T,495,251,130,0,0,0,0,2,12,0,1,,,,
0,Attack161B,,,,,,,,,,,,,,,,
0,TLPause,,,,,,,,,,,,,,,,
0,JMPABS,RndAttack,,,,,,,,,,,,,,,
0,:Attack1,,,,,,,,,,,,,,,,
0,SansRandomX,,,,,,,,,,,,,,,,
0,CombatZoneResizeinstant,200,241,440,391,,,,,,,,,,,,
0,HeartTeleport,320,341,,,,,,,,,,,,,,
0,HeartMode,1,,,,,,,,,,,,,,,
0,Bonerepeat,B,200,391,20,0,180,0,0,20,12,0,,,,,
0,Bonerepeat,T,200,241,20,0,180,0,0,20,12,0,,,,,
0,Attack162,,,,,,,,,,,,,,,,
0,Bonerepeat,T,300,261,40,0,180,0,0,20,40,0,0,0,0.2,0,2
0,Bonerepeat,T,340,261,40,0,0,0,0,20,40,0,0,0,0.2,0,2
0,Bonerepeat,B,340,371,40,0,0,0,0,20,40,0,0,0,0.2,0,2
0,Bonerepeat,B,300,371,40,0,180,0,0,20,40,0,0,0,0.2,0,2
0,platform,320,371,25,0,180,0,1,1,,,,,,,,
2.2,Attack162re,,,,,,,,,,,,,,,,
0,JMPABS,RndAttack,,,,,,,,,,,,,,,
0,:Attack2,,,,,,,,,,,,,,,,
0,RND,Side,2,,,,,,,,,,,,,,
0,JMPZ,Attack2A,$Side,,,,,,,,,,,,,,
0,SansRandomX,,,,,,,,,,,,,,,,
0,CombatZoneResizeinstant,120,251,520,391,,,,,,,,,,,,
0,HeartTeleport,320,381,,,,,,,,,,,,,,
0,HeartMode,1,,,,,,,,,,,,,,,
0,Attack163,,,,,,,,,,,,,,,,
0,Bonerepeat,T,166,251,48,0,180,0,0,3,12,0,0,0,,,
0,Bonerepeat,T,130,251,130,0,180,0,,3,12,0,0,0,,,
0,Bonerepeat,T,300,251,130,0,180,0,0,1,12,2,0,0,,,
0,Bonerepeat,T,239,251,65,0,180,0,0,1,12,0,0,0,,,
0,Bonerepeat,T,251,251,65,0,180,0,0,1,12,0,0,0,,,
0,Bonerepeat,B,474,391,48,0,0,0,0,3,12,0,0,0,,,
0,Bonerepeat,B,510,391,130,0,0,0,0,3,12,0,0,0,,,
0,Bonerepeat,B,340,391,130,0,0,0,0,1,12,2,0,0,,,
0,Bonerepeat,B,401,391,65,0,0,0,0,1,12,0,0,0,,,
0,Bonerepeat,B,389,391,65,0,0,0,0,1,12,0,0,0,,,
0,TLPause,,,,,,,,,,,,,,,,
0,JMPABS,RndAttack,,,,,,,,,,,,,,,
0,:Attack2A,,,,,,,,,,,,,,,,
0,SansRandomX,,,,,,,,,,,,,,,,
0,CombatZoneResizeinstant,120,251,520,391,,,,,,,,,,,,
0,HeartTeleport,320,381,,,,,,,,,,,,,,
0,HeartMode,1,,,,,,,,,,,,,,,
0,Attack163,,,,,,,,,,,,,,,,
0,Bonerepeat,B,166,391,48,0,180,0,0,3,12,0,0,0,,,
0,Bonerepeat,B,130,391,130,0,180,0,0,3,12,0,0,0,,,
0,Bonerepeat,B,300,391,130,0,180,0,0,1,12,2,0,0,,,
0,Bonerepeat,B,239,391,65,0,180,0,0,1,12,0,0,0,,,
0,Bonerepeat,B,251,391,65,0,180,0,0,1,12,0,0,0,,,
0,Bonerepeat,T,474,251,48,0,0,0,0,3,12,0,0,0,,,
0,Bonerepeat,T,510,251,130,0,0,0,0,3,12,0,0,0,,,
0,Bonerepeat,T,340,251,130,0,0,0,0,1,12,2,0,0,,,
0,Bonerepeat,T,401,251,65,0,0,0,0,1,12,0,0,0,,,
0,Bonerepeat,T,389,251,65,0,0,0,0,1,12,0,0,0,,,
0,TLPause,,,,,,,,,,,,,,,,
0,JMPABS,RndAttack,,,,,,,,,,,,,,,
0,:Attack3,,,,,,,,,,,,,,,,
0,SansRandomX,,,,,,,,,,,,,,,,
0,CombatZoneResizeinstant,120,251,520,391,,,,,,,,,,,,
0,HeartTeleport,320,381,,,,,,,,,,,,,,
0,HeartMode,1,,,,,,,,,,,,,,,
0,Attack164,,,,,,,,,,,,,,,,
