0,CombatZoneResize,249,249,391,391,TLResume,,
0,HeartTeleport,320,320,,,,,
0,HeartMode,0,,,,,,
0,TLPause,,,,,,,
,,,,,,,,
0.1,SET,Loop,10,,,,,
0,JMPZ,45,$Loop,,,,,
0,SUB,Loop,$Loop,1,,,,
0,SansTorso,default,,,,,,
0,Blackscreen2,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
0,RND,Direction,4,,,,,
0,ADD,Jump,$Direction,1,,,,
0,JMPREL,$Jump,,,,,,
0,JMPREL,4,,,,,,
0,JMPREL,9,,,,,,
0,JMPREL,14,,,,,,
0,JMPREL,19,,,,,,
0,BoneStab,0,40,0.55,1,0,0,5
0,Attack191,0,,,,,,
0,HeartTeleport,366,320,,,,,
0.5,SansTorso,handleft,,,,,,
0.25,JMPABS,7,,,,,,
,,,,,,,,
0,BoneStab,2,40,0.55,1,0,0,5
0,Attack191,2,,,,,,
0,HeartTeleport,274,320,,,,,
0.5,SansTorso,handright,,,,,,
0.25,JMPABS,7,,,,,,
,,,,,,,,
0,BoneStab,1,40,0.55,1,0,0,5
0,Attack191,1,,,,,,
0,HeartTeleport,320,365,,,,,
0.5,SansTorso,handup,,,,,,
0.25,JMPABS,7,,,,,,
,,,,,,,,
0,BoneStab,3,40,0.55,1,0,0,5
0,Attack191,3,,,,,,
0,HeartTeleport,320,274,,,,,
0.5,SansTorso,handdown,,,,,,
0.25,JMPABS,7,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
0,Blackscreen2,,,,,,,
0,CombatZoneResizeInstant,33,231,608,391,,,
0,endattack,,,,,,,
