0,CombatZoneResize,240,231,400,391,TLResume,,,,
0,HeartTeleport,320,311,,,,,,,
0,HeartMode,0,,,,,,,,
0,TLPause,,,,,,,,,
0,sound,ding,,,,,,,,
,,,,,,,,,,
0,Attack241,0,,,,,,,,
0.8,Bone,ÅgÅh,400,311,150,270,180,50,0,1
0.8,Attack241,1,,,,,,,,
0.8,Bone,ÅgÅh,240,311,150,270,0,50,0,1
,,,,,,,,,,
0.8,Attack241,0,,,,,,,,
0.8,Bone,ÅgÅh,400,311,150,270,180,50,0,1
0.8,Attack241,1,,,,,,,,
0.8,Bone,ÅgÅh,240,311,150,270,0,50,0,1
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
2,SansXShake,320,15,1,1,,,,,
0,sound,PlayerDamaged,,,,,,,,
0,Attack242,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
3,Attack245,,,,,,,,,
,,,,,,,,,,
3,Attack247,,,,,,,,,
,,,,,,,,,,
3,Attack2412,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
3,Attack2416,,,,,,,,,
,,,,,,,,,,
3,SansXShake,320,15,1,1,,,,,
0,sound,PlayerDamaged,,,,,,,,
0,Attack2418,,,,,,,,,
,,,,,,,,,,
3,SansXShake,320,15,1,1,,,,,
0,sound,PlayerDamaged,,,,,,,,
0,Attack2420,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
5,Attack2424,,,,,,,,,
